"","county","inflow","year"
"910","Elbert",1537,2011
"911","El Paso",43285,2011
"912","Fremont",1987,2011
"913","Garfield",2874,2011
"914","Gilpin",389,2011
"915","Grand",736,2011
"916","Gunnison",768,2011
"917","Hinsdale",49,2011
"918","Huerfano",303,2011
"919","Jackson",83,2011
"920","Jefferson",31448,2011
"921","Kiowa",81,2011
"922","Kit Carson",405,2011
"923","Lake",461,2011
"924","La Plata",2653,2011
"925","Larimer",15566,2011
"926","Las Animas",534,2011
"927","Lincoln",245,2011
"928","Logan",766,2011
"929","Mesa",6081,2011
"930","Mineral",40,2011
"931","Moffat",600,2011
"932","Montezuma",1148,2011
"933","Montrose",1719,2011
"934","Morgan",1190,2011
"935","Otero",776,2011
"936","Ouray",278,2011
"937","Park",1015,2011
"938","Phillips",203,2011
"939","Pitkin",918,2011
"940","Prowers",563,2011
"941","Pueblo",5462,2011
"942","Rio Blanco",465,2011
"943","Rio Grande",668,2011
"944","Routt",1167,2011
"945","Saguache",255,2011
"946","San Juan",36,2011
"947","San Miguel",516,2011
"948","Sedgwick",123,2011
"949","Summit",2154,2011
"950","Teller",1654,2011
"951","Washington",211,2011
"952","Weld",15089,2011
"953","Yuma",486,2011
"954","Adams",39542,2012
"955","Alamosa",958,2012
"956","Arapahoe",52225,2012
"957","Archuleta",882,2012
"958","Baca",87,2012
"959","Bent",256,2012
"960","Boulder",18713,2012
"961","Broomfield",10399,2012
"962","Chaffee",1268,2012
"963","Cheyenne",113,2012
"964","Clear Creek",750,2012
"965","Conejos",289,2012
"966","Costilla",181,2012
"967","Crowley",163,2012
"968","Custer",320,2012
"969","Delta",1689,2012
"970","Denver",58642,2012
"971","Dolores",88,2012
"972","Douglas",24917,2012
"973","Eagle",3613,2012
"974","Elbert",2350,2012
"975","El Paso",46356,2012
"976","Fremont",2098,2012
"977","Garfield",3698,2012
"978","Gilpin",526,2012
"979","Grand",909,2012
"980","Gunnison",940,2012
"981","Hinsdale",47,2012
"982","Huerfano",453,2012
"983","Jackson",72,2012
"984","Jefferson",37328,2012
"985","Kiowa",80,2012
"986","Kit Carson",407,2012
"987","Lake",436,2012
"988","La Plata",3334,2012
"989","Larimer",17957,2012
"990","Las Animas",691,2012
"991","Lincoln",284,2012
"992","Logan",877,2012
"993","Mesa",6577,2012
"994","Mineral",44,2012
"995","Moffat",651,2012
"996","Montezuma",1491,2012
"997","Montrose",2205,2012
"998","Morgan",1352,2012
"999","Otero",751,2012
"1000","Ouray",432,2012
"1001","Park",1390,2012
"1002","Phillips",221,2012
"1003","Pitkin",1315,2012
"1004","Prowers",601,2012
"1005","Pueblo",5640,2012
"1006","Rio Blanco",451,2012
"1007","Rio Grande",821,2012
"1008","Routt",1542,2012
"1009","Saguache",339,2012
"1010","San Juan",41,2012
"1011","San Miguel",520,2012
"1012","Sedgwick",154,2012
"1013","Summit",2464,2012
"1014","Teller",2031,2012
"1015","Washington",245,2012
"1016","Weld",17667,2012
"1017","Yuma",411,2012
